event_id,date,lat,lon,trigger,acc_km,admin_division_name,fatality_count
6143,2014-07-14,23.7327,92.7463,downpour,5.0,Mizoram,1.0
9124,2016-07-19,25.203,90.5573,continuous_rain,5.0,Meghalaya,0.0
2282,2010-08-19,26.1984,94.8158,downpour,1.0,Nāgāland,0.0
9338,2016-05-18,24.4638,92.4943,continuous_rain,10.0,Assam,5.0
2421,2010-09-13,23.75406693,92.74128531,downpour,1.0,Mizoram,
2283,2010-08-19,24.8961,93.4957,downpour,5.0,Manipur,0.0
4552,2012-09-14,27.0377,88.3603,downpour,5.0,Sikkim,
6016,2014-05-09,24.8669,92.3576,rain,1.0,Assam,7.0
5533,2013-09-16,27.0599,88.4674,downpour,5.0,Bengal,1.0
7780,2015-08-26,23.3572,92.7878,continuous_rain,5.0,Mizoram,1.0
2281,2010-08-19,25.61560252,94.11603493,downpour,5.0,Nāgāland,
260,2007-09-11,27.2084,88.4909,rain,5.0,,
6283,2014-09-22,26.1314,91.7548,rain,1.0,Assam,0.0
5427,2013-08-15,25.3833,94.1884,downpour,5.0,Nāgāland,
8339,2015-09-23,26.1666,91.7042,continuous_rain,1.0,Assam,0.0
9186,2016-07-25,25.48,94.1383,continuous_rain,1.0,Manipur,0.0
5107,2013-07-15,25.6269,94.1139,rain,10.0,Nāgāland,0.0
7253,2015-07-22,24.7979,92.9974,continuous_rain,5.0,Assam,5.0
1089,2009-08-16,26.7914,88.363,downpour,10.0,Bengal,4.0
6286,2014-09-22,26.1044,91.7082,rain,5.0,Assam,0.0
7040,2015-07-01,26.9978,88.167,downpour,1.0,West Bengal,1.0
6782,2011-09-28,26.8545,88.3372,rain,0.0,West Bengal,0.0
5337,2013-08-16,26.4205,94.9731,rain,5.0,Nāgāland,
3881,2011-08-05,27.1034,93.6885,downpour,5.0,Arunāchal Pradesh,0.0
7383,2015-08-01,23.899,94.1434,rain,5.0,Manipur,0.0
4757,2013-02-18,28.1193,95.1645,rain,5.0,Arunāchal Pradesh,3.0
7666,2015-08-11,25.1019,93.3729,continuous_rain,5.0,Manipur,0.0
2045,2010-07-06,26.2363,94.8133,monsoon,5.0,Nāgāland,0.0
7701,2015-08-19,25.6278,94.1051,continuous_rain,5.0,Nagaland,0.0
2422,2010-09-13,23.74182634,92.7141905,downpour,1.0,Mizoram,
6513,2014-08-14,23.0137,91.7174,downpour,5.0,Tripura,3.0
4990,2013-06-27,27.3765,88.7628,downpour,1.0,Sikkim,0.0
6106,2014-06-26,26.1407,91.7645,continuous_rain,5.0,Assam,3.0
3965,2011-09-06,24.808,93.117,rain,1.0,Assam,3.0
1092,2009-08-16,26.74452462,88.40011959,downpour,5.0,Bengal,1.0
1111,2009-08-20,27.1344,88.4575,downpour,5.0,Bengal,0.0
7035,2015-06-30,25.4243,88.2746,downpour,1.0,West Bengal,3.0
6969,2015-06-16,25.5114,90.215,downpour,1.0,Meghalaya,4.0
2044,2010-07-06,25.8877,94.7861,monsoon,5.0,Nāgāland,0.0
2587,2010-10-10,25.6623,94.1072,downpour,1.0,Nāgāland,0.0
1596,2010-03-27,24.7339,93.9161,downpour,5.0,Manipur,0.0
1771,2010-04-20,26.1978,91.7665,downpour,0.0,Assam,0.0
7364,2015-07-31,24.819,94.3551,continuous_rain,10.0,Manipur,0.0
6968,2015-06-13,25.463,92.2121,continuous_rain,5.0,Meghalaya,4.0
7373,2015-08-01,24.9111,94.4759,continuous_rain,10.0,Manipur,
4570,2012-09-19,27.8458,95.2253,downpour,1.0,Arunāchal Pradesh,
1935,2010-06-03,23.8986,91.7599,downpour,5.0,Tripura,0.0
7276,2015-07-25,26.1062,91.8717,continuous_rain,5.0,Assam,2.0
2576,2010-10-09,25.4788,94.1399,downpour,10.0,Nāgāland,0.0
1102,2009-08-19,27.2644,88.1365,downpour,10.0,,2.0
1056,2009-07-22,27.04,88.264,downpour,10.0,Bengal,0.0
6284,2014-09-22,26.1324,91.8342,rain,5.0,Assam,0.0
6146,2014-07-15,27.059,88.4694,rain,1.0,West Bengal,0.0
9251,2016-07-28,25.8702,94.7844,downpour,1.0,Nagaland,0.0
7664,2015-08-11,24.7459,93.4251,continuous_rain,10.0,Manipur,0.0
1088,2009-08-16,26.8867642,88.28044714,downpour,5.0,Bengal,5.0
9404,2016-05-01,28.0822,96.5316,downpour,1.0,Arunachal Pradesh,0.0
6287,2014-09-22,26.1295,91.7056,rain,5.0,Assam,0.0
2296,2010-08-20,27.167,88.3652,downpour,10.0,Sikkim,0.0
2304,2010-08-21,25.5718,94.1211,downpour,10.0,Nāgāland,0.0
5273,2013-08-04,26.1807,94.5497,monsoon,5.0,Nāgāland,
8995,2016-07-14,26.1963,91.8074,monsoon,5.0,Assam,1.0
2567,2010-10-08,25.6633,94.4703,downpour,5.0,Manipur,0.0
3794,2011-07-17,26.99195749,88.42280921,rain,5.0,Sikkim,
6285,2014-09-22,26.159,91.8178,rain,5.0,Assam,0.0
5005,2013-07-01,26.72,95.029,downpour,5.0,Nāgāland,0.0
3860,2011-07-29,25.4192,94.108,rain,10.0,Nāgāland,0.0
1032,2009-05-26,27.0095,88.2592,tropical_cyclone,5.0,Bengal,6.0
1127,2009-08-27,25.1718,93.123,downpour,10.0,Assam,
2201,2010-08-05,27.0366,88.263,downpour,5.0,Bengal,0.0
5603,2013-10-13,25.426,94.6024,downpour,5.0,Manipur,0.0
2042,2010-07-06,26.0093,94.5238,monsoon,5.0,Nāgāland,0.0
7933,2015-09-01,26.1868,91.6739,rain,1.0,Assam,2.0
3637,2011-06-21,25.51614662,94.2341227,rain,1.0,Nāgāland,
7372,2015-07-31,25.0634,94.3415,continuous_rain,10.0,Manipur,0.0
2570,2010-10-08,24.837,93.9128,downpour,5.0,Manipur,0.0
1168,2009-09-17,27.1954,88.6115,rain,5.0,Sikkim,
3806,2011-07-19,27.1032,93.6884,downpour,10.0,Arunāchal Pradesh,3.0
3943,2011-08-23,27.13862165,88.22551799,downpour,10.0,,5.0
6110,2014-06-27,26.1619,91.7697,rain,0.0,Assam,3.0
3789,2011-07-16,27.2743,92.9064,downpour,10.0,Arunāchal Pradesh,0.0
9618,2016-10-15,26.9343,88.4486,downpour,1.0,West Bengal,0.0
6292,2014-09-23,25.7238,89.9032,continuous_rain,5.0,Assam,1.0
6783,2012-07-19,26.8546,88.3373,monsoon,0.0,West Bengal,0.0
7265,2015-07-22,25.5007,93.9854,continuous_rain,5.0,Manipur,0.0
2436,2010-09-16,24.3069,93.125,downpour,5.0,Mizoram,0.0
7727,2015-08-20,25.6263,94.1057,continuous_rain,5.0,Nagaland,0.0
6200,2014-08-17,27.0869,93.6086,downpour,10.0,Arunachal Pradesh,0.0
7778,2015-08-26,23.8447,93.0514,continuous_rain,10.0,Mizoram,0.0
6290,2014-09-23,25.5772,91.8666,continuous_rain,5.0,Meghalaya,8.0
1110,2009-08-20,26.88405686,88.28087032,continuous_rain,10.0,Bengal,
2243,2010-08-13,25.70223725,94.04619681,downpour,5.0,Nāgāland,0.0
9074,2016-07-20,27.1176,88.1069,downpour,1.0,West Bengal,3.0
9142,2016-06-14,26.3185,94.5247,continuous_rain,1.0,Nagaland,0.0
6107,2014-06-26,26.1844,91.7896,continuous_rain,5.0,Assam,1.0
7660,2015-08-12,25.6237,94.1136,continuous_rain,5.0,Nagaland,0.0
7037,2015-07-01,26.8811,88.2779,downpour,5.0,West Bengal,0.0
4556,2012-09-16,27.1675,88.3651,downpour,5.0,Sikkim,
7389,2015-08-01,24.4072,94.0644,continuous_rain,5.0,Manipur,0.0
2437,2010-09-16,23.7527,92.694,downpour,5.0,Mizoram,0.0
7923,2015-09-01,26.49349035,91.72137514,rain,10.0,Assam,2.0
3632,2011-06-20,27.0638,88.4659,rain,5.0,Bengal,0.0
5336,2013-08-16,26.3897,94.9439,rain,10.0,Nāgāland,
7590,2015-08-19,25.1416,92.3807,rain,5.0,Meghalaya,0.0
1222,2009-10-05,23.73478778,92.72124394,downpour,5.0,Mizoram,3.0
8222,2016-06-22,26.1961,91.7825,downpour,5.0,Assam,1.0
7706,2015-08-19,25.0728,92.3636,rain,5.0,Meghalaya,0.0
9620,2016-10-15,27.172,88.5292,downpour,5.0,Sikkim,0.0
8224,2015-09-14,23.7313,92.7187,downpour,5.0,Mizoram,0.0
1756,2010-04-17,27.322,88.6087,downpour,1.0,Sikkim,0.0
9334,2016-05-18,24.5204,92.7264,continuous_rain,1.0,Assam,2.0
8237,2016-07-01,27.0136,92.6351,downpour,1.0,Arunachal Pradesh,5.0
4385,2012-06-03,27.7167,88.5577,downpour,5.0,,
4859,2013-05-11,26.1771,91.7599,rain,5.0,Assam,
3916,2011-08-13,25.7713,93.8067,downpour,10.0,Assam,0.0
7034,2015-06-30,27.0875,88.6556,downpour,1.0,West Bengal,1.0
5250,2013-08-01,27.8837,93.0515,rain,10.0,Arunachal Pradesh,
3805,2011-07-19,27.05374234,88.42572376,rain,1.0,Sikkim,0.0
1084,2009-08-12,27.7,92.8,downpour,5.0,Arunāchal Pradesh,0.0
7266,2015-07-22,25.5098,93.8794,continuous_rain,10.0,Manipur,0.0
2166,2010-07-29,24.9786,93.5027,downpour,10.0,Assam,0.0
4426,2012-06-22,26.1226,91.7162,downpour,5.0,Assam,3.0
8366,2015-09-23,25.583,91.893,downpour,5.0,Meghalaya,2.0
7655,2016-04-22,27.5799,91.8569,continuous_rain,5.0,Arunachal Pradesh,17.0
9464,2016-08-05,27.5754,91.9754,downpour,5.0,Arunachal Pradesh,0.0
5272,2013-08-04,26.2083,94.5438,monsoon,1.0,Nāgāland,
5575,2013-10-05,25.8266,94.1497,continuous_rain,5.0,Nāgāland,0.0
8996,2016-07-14,26.1768,91.7702,monsoon,1.0,Assam,1.0
1613,2010-04-02,27.8997,93.3497,downpour,1.0,Arunāchal Pradesh,12.0
7138,2015-07-07,27.0816,88.4397,continuous_rain,5.0,Sikkim,0.0
6945,2015-06-19,25.16,93.686,monsoon,1.0,Manipur,0.0
4860,2013-05-11,26.1016,91.6906,rain,5.0,Assam,
1770,2010-04-20,26.1965,91.763,downpour,1.0,Assam,0.0
7728,2015-08-22,26.1028,91.8806,continuous_rain,5.0,Assam,0.0
7836,2015-08-27,24.042,92.6724,downpour,10.0,Mizoram,0.0
3776,2011-07-15,27.125,93.7145,downpour,5.0,Arunāchal Pradesh,0.0
7388,2015-08-01,24.416,94.0984,continuous_rain,5.0,Manipur,0.0
2343,2010-08-27,25.4786,94.1327,downpour,5.0,Nāgāland,0.0
3683,2011-07-01,25.8782,94.1739,downpour,10.0,Nāgāland,0.0
9619,2016-10-15,27.1695,88.3664,rain,5.0,Sikkim,0.0
7591,2015-03-19,25.0318,92.4584,rain,5.0,Assam,0.0
5441,2013-09-02,28.611,94.9829,downpour,5.0,Arunāchal Pradesh,
9232,2016-07-28,23.5397,93.3783,continuous_rain,1.0,Mizoram,2.0
4434,2012-06-25,26.1049,91.7369,downpour,1.0,Assam,1.0
1090,2009-08-16,26.9599,88.268,downpour,5.0,Bengal,2.0
7214,2015-07-15,27.36,93.0385,monsoon,5.0,Arunachal Pradesh,3.0
5582,2013-10-06,26.1309,91.8383,downpour,5.0,Assam,1.0
2569,2010-10-08,25.2745,94.0212,downpour,5.0,Nāgāland,0.0
2423,2010-09-13,23.73504471,92.71060943,downpour,1.0,Mizoram,
3532,2011-05-24,25.0888,92.8551,downpour,10.0,Assam,0.0
2345,2010-08-27,27.3392,88.6188,downpour,5.0,Sikkim,0.0
6970,2015-06-16,25.5084,90.2191,downpour,1.0,Meghalaya,1.0
5312,2013-08-11,26.7103,94.693,downpour,10.0,Assam,0.0
1929,2010-05-31,27.3543,88.6428,downpour,5.0,Sikkim,0.0
7409,2015-08-02,25.72,94.6219,continuous_rain,10.0,Nagaland,0.0
9219,2016-07-26,26.0101,94.5282,downpour,5.0,Nagaland,0.0
2579,2010-10-09,25.682,94.1076,downpour,1.0,Nāgāland,0.0
8223,2015-09-14,23.7348,92.7187,downpour,5.0,Mizoram,0.0
7336,2015-08-19,25.2193,90.5549,continuous_rain,10.0,Meghalaya,0.0
9252,2016-07-28,27.5748,91.8644,monsoon,5.0,Arunachal Pradesh,0.0
7038,2015-07-01,26.8781,88.2807,downpour,10.0,West Bengal,0.0
7665,2015-08-11,24.7016,93.5291,continuous_rain,5.0,Manipur,0.0
7139,2015-07-07,26.8826,88.2806,continuous_rain,5.0,West Bengal,1.0
692,2008-08-07,25.705,94.04,downpour,10.0,Nāgāland,
3633,2011-06-20,26.3186,94.5121,downpour,5.0,Nāgāland,0.0
7374,2015-08-01,25.1122,94.3591,continuous_rain,10.0,Manipur,0.0
4446,2012-07-05,28.9986,94.8885,downpour,5.0,Arunachal Pradesh,
2341,2010-08-26,27.2319,88.497,downpour,10.0,,0.0
2098,2010-07-19,26.7215,95.0283,downpour,5.0,Nāgāland,0.0
2205,2010-08-06,23.7365,92.7146,downpour,1.0,Mizoram,0.0
4610,2012-11-11,23.7705,92.5217,downpour,5.0,Mizoram,4.0
5275,2013-08-04,26.1498,94.6055,monsoon,10.0,Nāgāland,
9138,2016-07-21,26.9015,88.4719,rain,1.0,West Bengal,0.0
1031,2009-05-26,26.8836,88.2791,tropical_cyclone,5.0,Bengal,7.0
2247,2010-08-14,26.148,94.8422,downpour,10.0,Nāgāland,0.0
6112,2014-06-28,26.1964,91.7652,rain,0.0,Assam,0.0
7039,2015-07-01,27.0678,88.456,downpour,1.0,West Bengal,0.0
231,2007-09-05,27.06826195,88.28121204,rain,5.0,Bengal,15.0
7036,2015-07-01,26.8352,88.1881,downpour,5.0,West Bengal,42.0
1106,2009-08-20,26.8992,88.1667,continuous_rain,1.0,Bengal,2.0
2420,2010-09-13,23.72988966,92.71495623,downpour,1.0,Mizoram,1.0
264,2007-09-13,26.1833,91.8,rain,10.0,Assam,
2034,2010-07-04,26.8712,88.3052,rain,0.0,Bengal,0.0
6214,2014-10-05,25.9702,91.8587,rain,5.0,Meghalaya,1.0
3944,2011-08-25,27.7344,88.633,downpour,10.0,,2.0
4411,2012-06-14,27.339,88.6065,downpour,5.0,Sikkim,
142,2007-07-27,25.5212,90.232,rain,10.0,Meghālaya,8.0
7384,2015-08-01,23.9278,94.0906,rain,5.0,Manipur,0.0
211,2007-08-26,24.9667,93.55,continuous_rain,5.0,Manipur,1.0
4384,2012-06-03,25.1775,93.0123,downpour,5.0,Assam,
7033,2015-06-29,27.0161,88.2478,downpour,1.0,West Bengal,0.0
4383,2012-06-03,25.3056,93.1265,downpour,5.0,Assam,
2163,2010-07-29,25.4196,94.1054,downpour,5.0,Nāgāland,0.0
6967,2015-06-13,27.0165,88.2476,downpour,1.0,West Bengal,0.0
3932,2011-08-18,25.83,94.13,monsoon,0.0,Nāgāland,0.0
1093,2009-08-16,26.88211522,88.3195318,downpour,5.0,Bengal,1.0
5584,2013-10-06,26.1665,91.7049,downpour,5.0,Assam,0.0
1986,2010-06-15,26.3335,94.5512,downpour,1.0,Nāgāland,0.0
2573,2010-10-09,25.1796,93.0083,downpour,5.0,Assam,1.0
313,2007-10-16,25.7055,94.0132,rain,5.0,Nāgāland,
9010,2016-07-16,27.3034,93.804,downpour,5.0,Arunachal Pradesh,1.0
2043,2010-07-06,26.7225,95.0281,monsoon,5.0,Nāgāland,0.0
9336,2016-05-18,24.5308,92.5121,continuous_rain,1.0,Assam,1.0
9604,2016-10-12,27.2676,88.2891,continuous_rain,10.0,Sikkim,0.0
7837,2015-08-27,23.7269,92.7265,downpour,5.0,Mizoram,0.0
7267,2015-07-22,25.3908,94.0926,continuous_rain,10.0,Manipur,0.0
4848,2013-05-08,24.0896,91.4663,rain,5.0,Tripura,1.0
3617,2011-06-17,26.84850975,88.26181745,continuous_rain,5.0,Bengal,0.0
9122,2016-07-20,26.1966,91.802,rain,5.0,Assam,0.0
6282,2014-09-22,26.1097,91.7747,rain,5.0,Assam,1.0
620,2008-06-30,27.0771,88.482,downpour,5.0,Bengal,
6289,2014-09-22,26.1001,91.6849,rain,5.0,Assam,0.0
2279,2010-08-19,26.9722,88.4481,downpour,10.0,Bengal,0.0
